tss,left_coordinate,right_coordinate,mean_log2fc,tf_name,tfbs_left_coordinate,tfbs_right_coordinate,tf_effect,tf_concordance
TSS_41_regulondb,8191,+,8111,8121,1.583056547,NA,NA,NA,NA,NA
TSS_41_regulondb,8191,+,8139,8156,1.631335853,NA,NA,NA,NA,NA
TSS_41_regulondb,8191,+,8161,8171,1.524306735,NA,NA,NA,NA,NA
TSS_54_wanner,10564,-,10549,10569,1.98905971,NA,NA,NA,NA,NA
TSS_113_storz,19831,+,19801,19811,2.198950913,NA,NA,NA,NA,NA
TSS_124_regulondb,21045,-,21110,21125,1.127313943,NA,NA,NA,NA,NA
TSS_160_regulondb,29619,+,29529,29539,2.400348757,NA,NA,NA,NA,NA
TSS_159_storz_regulondb,29551,+,29546,29556,1.129784179,NA,NA,NA,NA,NA
TSS_160_regulondb,29619,+,29614,29634,1.70631344,ArgR,29602,29619,-,TRUE
TSS_160_regulondb,29619,+,29614,29634,1.70631344,ArgR,29623,29640,-,TRUE
TSS_247_storz_regulondb,57241,-,57226,57236,0.9928317331,NA,NA,NA,NA,NA
TSS_247_storz_regulondb,57241,-,57276,57286,5.364549794,NA,NA,NA,NA,NA
TSS_247_storz_regulondb,57241,-,57296,57306,1.223505771,NA,NA,NA,NA,NA
TSS_298_storz,71292,+,71232,71242,2.543809739,NA,NA,NA,NA,NA
TSS_298_storz,71292,+,71297,71307,1.231435471,NA,NA,NA,NA,NA
TSS_353_regulondb,83728,-,83753,83763,1.170928439,NA,NA,NA,NA,NA
TSS_353_regulondb,83728,-,83793,83803,1.183072676,NA,NA,NA,NA,NA
TSS_383_regulondb,89360,+,89370,89380,0.9272080114,NA,NA,NA,NA,NA
TSS_385_regulondb,89589,+,89539,89549,1.070288412,PdhR,89546,89562,-,TRUE
TSS_385_regulondb,89589,+,89559,89574,1.99201843,PdhR,89546,89562,-,TRUE
TSS_398_storz,92677,-,92682,92692,3.266002968,NA,NA,NA,NA,NA
TSS_454_storz_regulondb,107668,+,107683,107693,1.359071384,NA,NA,NA,NA,NA
TSS_486_storz_regulondb,113394,+,113289,113299,1.045894038,NA,NA,NA,NA,NA
TSS_486_storz_regulondb,113394,+,113364,113374,1.460236118,NA,NA,NA,NA,NA
TSS_486_storz_regulondb,113394,+,113414,113424,1.029246885,NA,NA,NA,NA,NA
TSS_513_regulondb,121650,-,121630,121640,2.011220264,TyrR,121623,121640,-,TRUE
TSS_513_regulondb,121650,-,121660,121670,2.856971303,CRP,121646,121667,+,FALSE
TSS_513_regulondb,121650,-,121710,121720,1.546050334,NA,NA,NA,NA,NA
TSS_537_regulondb,127717,+,127687,127702,1.699418657,Fis,127681,127695,+,FALSE
TSS_537_regulondb,127717,+,127687,127702,1.699418657,ArcA,127683,127697,-,TRUE
TSS_537_regulondb,127717,+,127687,127702,1.699418657,CRP,127688,127709,-,TRUE
TSS_537_regulondb,127717,+,127687,127702,1.699418657,ArcA,127692,127706,-,TRUE
TSS_555_regulondb,131519,+,131464,131479,1.444105256,ArcA,131455,131469,-,TRUE
TSS_555_regulondb,131519,+,131464,131479,1.444105256,ArcA,131464,131478,-,TRUE
TSS_555_regulondb,131519,+,131464,131479,1.444105256,CRP,131471,131492,+,FALSE
TSS_572_storz,136504,-,136489,136499,1.665362982,NA,NA,NA,NA,NA
TSS_571_storz,136472,-,136552,136562,1.130583591,NA,NA,NA,NA,NA
TSS_610_wanner,146723,-,146773,146783,1.391011783,NA,NA,NA,NA,NA
TSS_630_storz,150401,-,150406,150416,4.502955697,NA,NA,NA,NA,NA
TSS_629_storz,150380,-,150425,150435,1.190198271,NA,NA,NA,NA,NA
TSS_632_storz,150689,-,150724,150734,2.611881946,NA,NA,NA,NA,NA
TSS_632_storz,150689,-,150749,150759,1.688420334,NA,NA,NA,NA,NA
TSS_650_storz,156107,+,156082,156092,4.418634229,NA,NA,NA,NA,NA
